listing_id,date
46894493,27-01-2023
35793179,27-01-2023
6.89719E+17,28-01-2023
45528939,28-01-2023
31210362,28-01-2023
6.34108E+17,28-01-2023
7.50749E+17,28-01-2023
7.88301E+17,28-01-2023
51230498,28-01-2023
7.74701E+17,28-01-2023
48124042,29-01-2023
9005989,29-01-2023
35914565,29-01-2023
44180048,29-01-2023
5.81058E+17,29-01-2023
25549565,29-01-2023
53483727,29-01-2023
50211226,29-01-2023
6.67645E+17,29-01-2023
54128829,29-01-2023
54150131,29-01-2023
38321579,29-01-2023
54369240,29-01-2023
52152157,29-01-2023
7.97455E+17,29-01-2023
48599533,29-01-2023
46894493,29-01-2023
6.17242E+17,29-01-2023
39698576,29-01-2023
6.89719E+17,30-01-2023
7.57342E+17,30-01-2023
7.3588E+17,30-01-2023
6.68608E+17,30-01-2023
25549565,30-01-2023
45529447,31-01-2023
44450012,31-01-2023
50171851,31-01-2023
52241973,31-01-2023
51230498,31-01-2023
52863776,31-01-2023
42092736,01-02-2023
28400263,01-02-2023
33558235,01-02-2023
54126427,01-02-2023
52837196,01-02-2023
6.17242E+17,01-02-2023
54126421,01-02-2023
7.61142E+17,02-02-2023
48124042,02-02-2023
16531782,02-02-2023
10768745,02-02-2023
28341274,02-02-2023
21752534,02-02-2023
25549565,02-02-2023
28722270,02-02-2023
7.23957E+17,03-02-2023
28868857,03-02-2023
6.34108E+17,03-02-2023
48599533,03-02-2023
25549565,03-02-2023
52241973,03-02-2023
31210362,03-02-2023
7.86316E+17,03-02-2023
53567589,03-02-2023
9501054,03-02-2023
53567589,04-02-2023
42763847,04-02-2023
11253948,04-02-2023
6.89719E+17,04-02-2023
51230498,04-02-2023
25549565,04-02-2023
6.17242E+17,05-02-2023
51230498,05-02-2023
9005989,05-02-2023
35914565,05-02-2023
48124042,05-02-2023
52863776,05-02-2023
46894493,05-02-2023
7.17373E+17,05-02-2023
54150131,05-02-2023
34330970,05-02-2023
6.67645E+17,05-02-2023
33558235,05-02-2023
53312101,05-02-2023
6.68608E+17,05-02-2023
25549565,05-02-2023
48052353,05-02-2023
44180048,05-02-2023
7.56753E+17,05-02-2023
30189794,06-02-2023
50171851,06-02-2023
6.34108E+17,06-02-2023
44265426,06-02-2023
54126420,06-02-2023
50211226,06-02-2023
25549565,06-02-2023
45024912,06-02-2023
51230498,07-02-2023
6.89719E+17,07-02-2023
47440071,07-02-2023
6.17242E+17,07-02-2023
35914565,07-02-2023
47943571,07-02-2023
51954621,07-02-2023
6.28163E+17,07-02-2023
52619545,08-02-2023
54128829,08-02-2023
22398196,08-02-2023
5651579,08-02-2023
45529447,08-02-2023
7.23957E+17,08-02-2023
47440071,08-02-2023
8.16085E+17,08-02-2023
28868857,09-02-2023
6.89719E+17,09-02-2023
48124042,09-02-2023
53567589,09-02-2023
54150131,09-02-2023
25549565,09-02-2023
9501054,10-02-2023
42092736,10-02-2023
6.17242E+17,10-02-2023
6.89719E+17,10-02-2023
6.68608E+17,10-02-2023
32993402,10-02-2023
35914565,10-02-2023
54369240,10-02-2023
38321579,10-02-2023
54128829,11-02-2023
45528939,11-02-2023
47345872,11-02-2023
32993402,11-02-2023
7.86316E+17,11-02-2023
16531782,11-02-2023
52836323,11-02-2023
54126420,11-02-2023
7.3588E+17,11-02-2023
5.93272E+17,11-02-2023
6.17242E+17,11-02-2023
24120690,12-02-2023
48124042,12-02-2023
45024912,12-02-2023
6.68608E+17,12-02-2023
46894493,12-02-2023
53860077,12-02-2023
6.31035E+17,12-02-2023
28868857,12-02-2023
52691284,12-02-2023
5.93272E+17,12-02-2023
6.17242E+17,12-02-2023
7.23957E+17,12-02-2023
9005989,12-02-2023
6.34108E+17,12-02-2023
53312101,12-02-2023
6.89719E+17,12-02-2023
38321579,12-02-2023
54150131,12-02-2023
35914565,12-02-2023
52241973,12-02-2023
7.39723E+17,12-02-2023
50211226,12-02-2023
51230498,12-02-2023
34330970,12-02-2023
34330970,13-02-2023
45313545,13-02-2023
35793179,13-02-2023
6.68608E+17,14-02-2023
6.58638E+17,14-02-2023
10768745,14-02-2023
48124042,14-02-2023
40491172,15-02-2023
35914565,15-02-2023
47440071,15-02-2023
6.68608E+17,15-02-2023
6.89719E+17,15-02-2023
6.92808E+17,15-02-2023
25549565,15-02-2023
7.84781E+17,15-02-2023
7.57342E+17,15-02-2023
50207226,16-02-2023
38321579,16-02-2023
7.74701E+17,16-02-2023
44180048,16-02-2023
13083497,16-02-2023
35793179,17-02-2023
7.23957E+17,17-02-2023
45313545,17-02-2023
9501054,17-02-2023
11253948,17-02-2023
52611613,17-02-2023
5.93272E+17,17-02-2023
45529447,17-02-2023
53567589,17-02-2023
25549565,17-02-2023
52863776,18-02-2023
6.17242E+17,18-02-2023
44180048,18-02-2023
9005989,18-02-2023
45529316,18-02-2023
51710034,18-02-2023
53312101,18-02-2023
47440071,18-02-2023
6.68608E+17,18-02-2023
44265426,18-02-2023
6.68608E+17,18-02-2023
6.31035E+17,18-02-2023
42092736,18-02-2023
51230498,18-02-2023
28868857,18-02-2023
6.67645E+17,19-02-2023
7.23957E+17,19-02-2023
7.51421E+17,19-02-2023
53567589,19-02-2023
6.31035E+17,19-02-2023
54150131,19-02-2023
45024912,19-02-2023
9005989,19-02-2023
35914565,19-02-2023
44180048,19-02-2023
54126420,19-02-2023
6.34108E+17,19-02-2023
6.92808E+17,19-02-2023
45313545,19-02-2023
39093517,19-02-2023
7.37574E+17,19-02-2023
43208391,19-02-2023
43736299,19-02-2023
54128829,19-02-2023
38321579,19-02-2023
5.81058E+17,19-02-2023
5.93272E+17,19-02-2023
21752534,19-02-2023
47440071,19-02-2023
16531782,19-02-2023
47334913,20-02-2023
7.74701E+17,20-02-2023
48124042,20-02-2023
43955950,20-02-2023
6.28163E+17,20-02-2023
40491172,20-02-2023
25549565,20-02-2023
52863776,20-02-2023
45529447,20-02-2023
6.54303E+17,20-02-2023
53312101,20-02-2023
6.18673E+17,20-02-2023
50207226,20-02-2023
54128829,20-02-2023
5.81058E+17,20-02-2023
51592836,20-02-2023
53860077,20-02-2023
10768745,20-02-2023
33558235,20-02-2023
45074220,20-02-2023
20519885,20-02-2023
7.23957E+17,20-02-2023
53567589,20-02-2023
8.26302E+17,20-02-2023
28341274,20-02-2023
52611613,21-02-2023
16531782,21-02-2023
33558235,22-02-2023
35793179,22-02-2023
54150131,22-02-2023
44180048,22-02-2023
38321579,22-02-2023
35914565,22-02-2023
50211226,22-02-2023
44265426,22-02-2023
9501054,22-02-2023
8.16085E+17,22-02-2023
45529316,22-02-2023
6.54303E+17,22-02-2023
7.56753E+17,22-02-2023
34330970,22-02-2023
7.86197E+17,22-02-2023
51230498,22-02-2023
48599533,22-02-2023
7.50749E+17,22-02-2023
42092736,22-02-2023
53567589,22-02-2023
45528939,22-02-2023
54369240,22-02-2023
51592836,22-02-2023
6.28163E+17,22-02-2023
30189794,22-02-2023
45074220,22-02-2023
7.61142E+17,22-02-2023
3820211,23-02-2023
46894493,23-02-2023
38321579,23-02-2023
28341274,23-02-2023
19527043,23-02-2023
28400263,23-02-2023
6.17242E+17,23-02-2023
7.84781E+17,23-02-2023
7.3588E+17,23-02-2023
33558235,23-02-2023
47943571,23-02-2023
22398196,23-02-2023
28722270,23-02-2023
6.31035E+17,23-02-2023
54126421,23-02-2023
6.34108E+17,23-02-2023
54128829,23-02-2023
52241973,23-02-2023
47440071,23-02-2023
50171851,23-02-2023
34330970,23-02-2023
51503537,23-02-2023
6.68608E+17,24-02-2023
45529447,24-02-2023
44180048,24-02-2023
9005989,24-02-2023
6.92808E+17,24-02-2023
51230498,24-02-2023
53483727,24-02-2023
50890336,24-02-2023
8.16085E+17,25-02-2023
54150131,25-02-2023
10768745,25-02-2023
5.81058E+17,25-02-2023
7.61142E+17,25-02-2023
38321579,25-02-2023
7.57978E+17,25-02-2023
6.89719E+17,25-02-2023
6.92808E+17,25-02-2023
53483727,25-02-2023
6.31035E+17,25-02-2023
8.26302E+17,25-02-2023
47408047,25-02-2023
6.68608E+17,25-02-2023
7.50749E+17,25-02-2023
7.17373E+17,26-02-2023
52837196,26-02-2023
51230498,26-02-2023
50890336,26-02-2023
7.23957E+17,26-02-2023
24120690,26-02-2023
50171851,26-02-2023
50207226,26-02-2023
47943571,26-02-2023
7.52119E+17,26-02-2023
6.81952E+17,26-02-2023
7.50749E+17,26-02-2023
45313545,26-02-2023
46894493,26-02-2023
