id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_per_review
34330970,Muhammed Ali Lounge & Pool Hall ⬢⬡,232967878,Diana,second ward,42.64335,-73.7579,Entire home/apt,118.0,1,318,2025-05-25,4.35,22,28,45,0.36990595611285265
35793179,Cozy Bedroom in Historic Residential Home,15223767,Ed,seventh ward,42.65259,-73.78223,Private room,50.0,1,198,2025-05-23,2.75,3,228,41,0.25125628140703515
35914565,The Poker Room ♤ Downtown Albany,232967878,Diana,second ward,42.64506,-73.75727,Entire home/apt,89.0,1,308,2025-05-18,4.27,22,27,29,0.28802588996763756
36443605,Sophisticated Retreat: 2BR in heart of Albany,188679144,Elizabeth,thirteenth ward,42.66619,-73.79031,Entire home/apt,126.0,2,54,2024-08-14,0.75,8,365,2,2.290909090909091
38321579,Comfy and quiet,172223381,Diana,eighth ward,42.65085,-73.80239,Private room,53.0,1,422,2025-06-06,6.03,2,221,98,0.12529550827423167
39093517,Center Square Safe 2 Bedroom Long  Stay w/ Parking,299638115,Flerida,sixth ward,42.65507,-73.76138,Entire home/apt,104.0,2,44,2025-05-22,0.66,4,356,5,2.311111111111111
39698576,Spacious Designer 1-Bed Near Albany Med,188679144,Elizabeth,ninth ward,42.65483,-73.78033,Entire home/apt,110.0,5,24,2025-04-14,0.35,8,365,1,4.4
40491172,"Renovated, private parking,location, washer dryer!",152762198,Allen,thirteenth ward,42.66827,-73.79231,Entire home/apt,92.0,3,130,2025-05-21,1.94,9,314,22,0.7022900763358778
40828178,Comfortable! One Bedroom A/C Apartment Queen Bed,47491906,Lloyd,fourth ward,42.67773,-73.73899,Entire home/apt,121.0,1,173,2025-02-16,2.63,1,7,7,0.6954022988505747
41319631,Modern Carriage in the Heart of Albany,59864591,Daniel,sixth ward,42.65115,-73.7668,Entire home/apt,97.0,30,4,2023-01-06,0.08,1,0,0,19.4
42009788,Center Square Sanctuary: Private 2-Bedroom Gem,188679144,Elizabeth,sixth ward,42.65315,-73.76202,Entire home/apt,122.0,7,24,2024-12-24,0.37,8,365,2,4.88
42092736,Private Bedroom in Cozy Ranch Home,41400541,John,fourteenth ward,42.66403,-73.81446,Private room,52.0,1,187,2025-02-15,2.9,1,97,28,0.2765957446808511
42391372,Central Albany Apartment: Walk to State Capitol!,121680792,Evolve,second ward,42.6469,-73.75761,Entire home/apt,174.0,3,27,2022-10-27,0.45,5,9,0,6.214285714285714
42567833,Homey,339085327,Arkady,ninth ward,42.65567,-73.7854,Entire home/apt,183.0,70,0,,0.0,1,365,0,183.0
42763847,Charming dog friendly home with private yard!,649068,Anthony,first ward,42.63876,-73.78535,Entire home/apt,102.0,1,115,2025-06-03,1.84,1,223,19,0.8793103448275862
43208391,Classic & Homey 2BD/1BA Fl 2 Apt @ Downtown Albany,272907816,Angela,second ward,42.64453,-73.75426,Entire home/apt,87.0,2,112,2025-05-18,1.95,2,77,24,0.7699115044247787
43459803,Luxury 1 bedroom Apt in the heart of Center Square,299638115,Flerida,sixth ward,42.65556,-73.76205,Entire home/apt,114.0,2,18,2025-02-24,0.34,4,343,2,6.0
43736299,*The Blue House* Incredible 3 Bedroom Apartment,349460842,Scott,tenth ward,42.66257,-73.78281,Entire home/apt,93.0,1,131,2024-10-28,2.18,17,0,15,0.7045454545454546
43955950,* Quaint home located in residential neighborhood*,232967878,Diana,eighth ward,42.64383,-73.78926,Entire home/apt,248.0,2,91,2024-11-30,1.52,22,1,14,2.6956521739130435
44180048,Historic Queen Studio Across from Washington Park!,355777684,Lloyd,sixth ward,42.65935,-73.76805,Entire home/apt,102.0,1,370,2025-05-26,6.2,3,318,31,0.2749326145552561
44265426,Parkside Queen 1 Bedroom (1800's) Brownstone!,355777684,Lloyd,sixth ward,42.66006,-73.76966,Entire home/apt,103.0,1,302,2025-05-10,5.11,3,331,12,0.33993399339933994
44450012,Spacious upscale luxury apartment with huge yard,353498132,Michael,eighth ward,42.64808,-73.7996,Entire home/apt,146.0,13,26,2024-11-26,0.45,6,266,3,5.407407407407407
45024912,Private Apt Queen 1 Bed Sanctuary with many Extras,362851072,Elsa,fourteenth ward,42.66132,-73.7956,Entire home/apt,132.0,1,129,2025-01-12,2.21,1,221,4,1.0153846153846153
45074220,Secluded Studio Suite Fl 3 @ Downtown Albany,272907816,Angela,second ward,42.64454,-73.75369,Entire home/apt,67.0,1,40,2025-06-02,0.88,2,74,10,1.6341463414634145
45313545,Adorable & Trendy 1 Bd Apt Minutes to Albany Med!,165293595,Kori,ninth ward,42.6545,-73.78223,Entire home/apt,89.0,2,154,2025-05-22,2.72,1,247,29,0.5741935483870968
45528939,UNIQUE Gem in HEART of Albany ★ Spiral Staircase,47625981,Linda,second ward,42.64801,-73.75668,Entire home/apt,108.0,1,99,2025-02-16,1.86,18,176,6,1.08
45529316,WOW ★ Bright Apt ★ PRIME downtown Walk Everywhere,47625981,Linda,second ward,42.64821,-73.75793,Entire home/apt,108.0,1,122,2025-05-18,2.29,18,344,18,0.8780487804878049
45529447,★ 2 BEDROOM / 1 BATH TRENDY Apt ★ Downtown Albany,47625981,Linda,second ward,42.64713,-73.75628,Entire home/apt,117.0,1,144,2025-04-21,2.72,18,188,16,0.8068965517241379
46894493,Our Antique Bungalow,69789449,Dan,ninth ward,42.65311,-73.78525,Entire home/apt,152.0,1,257,2025-06-01,4.87,1,286,41,0.5891472868217055
47334913,"Newly renovated,Amazing Location,private parking",152762198,Allen,thirteenth ward,42.66646,-73.79184,Entire home/apt,92.0,3,93,2025-04-28,1.75,9,241,25,0.9787234042553191
47345872,Bright large 1 bdr loft in Center Sq -free parking,19648678,Terra,sixth ward,42.65345,-73.76663,Entire home/apt,96.0,1,65,2025-05-31,1.23,4,312,16,1.4545454545454546
47408047,"Quiet cozy apartment, private laundry, great spot!",152762198,Allen,fourteenth ward,42.67156,-73.80883,Entire home/apt,77.0,3,71,2025-05-26,1.36,9,313,20,1.0694444444444444
47440071,The Historic J. Buel Farmhouse - Luxury Suite Loft,382970529,Thomas,thirteenth ward,42.6692,-73.79849,Private room,90.0,1,172,2025-06-04,3.22,15,31,47,0.5202312138728323
47828453,Center Square Albany 2BR Apt w/Parking near all,299638115,Flerida,third ward,42.656,-73.76123,Entire home/apt,134.0,2,21,2025-02-27,0.4,4,310,3,6.090909090909091
47902629,"Renovated 2br/2ba, close to Alb Med & St. Petes.",21886921,David,thirteenth ward,42.66744,-73.79216,Entire home/apt,125.0,14,9,2025-05-22,0.18,2,300,2,12.5
47943571,Downtown Albany 1 Bed + Workstation @ Maiden Lane,385664127,Dillon,third ward,42.65118,-73.75274,Entire home/apt,95.0,2,168,2025-05-04,3.2,2,243,29,0.5621301775147929
48052353,*The Rustic Home* 3 Bedroom Second Floor Apartment,349460842,Scott,tenth ward,42.66261,-73.78332,Entire home/apt,201.0,1,167,2025-05-18,3.17,17,357,21,1.1964285714285714
48124042,Downtown Albany 2 Bedroom + Workstation @ The Mark,385664127,Dillon,third ward,42.64982,-73.7509,Entire home/apt,130.0,1,228,2025-05-12,4.88,2,142,40,0.5676855895196506
48172884,The Down Under Suite,98744672,Bela,ninth ward,42.65399,-73.78126,Private room,41.0,2,76,2025-03-06,1.46,8,280,15,0.5324675324675324
48470454,"/ New Giant Victorian \ 7beds 6 baths + 2x 85"" TVs",4259750,Peter,thirteenth ward,42.66526412963867,-73.78692626953125,Entire home/apt,511.0,2,44,2025-05-02,1.25,8,331,14,11.355555555555556
48599533,Capital View I,392074908,Jerry,sixth ward,42.65429,-73.75986,Entire home/apt,93.0,2,102,2025-05-17,2.19,3,166,3,0.9029126213592233
50088935,Quiet 2-bedroom condo in the heart of Albany,172658781,Jessica,thirteenth ward,42.66972,-73.79544,Entire home/apt,182.0,60,4,2022-11-30,0.09,2,308,0,36.4
50171851,Beautiful Center Square Garden-Level Unit,48490017,Todd,sixth ward,42.65157,-73.76546,Entire home/apt,93.0,2,190,2025-06-06,4.09,1,100,34,0.4869109947643979
50207226,★ RARE 1BR Apt with Character GREAT Location! W/D★,47625981,Linda,fourth ward,42.65888,-73.74673,Entire home/apt,104.0,1,89,2025-05-25,1.83,18,196,16,1.1555555555555554
50211226,Cozy Studio By Washington Park | Walkable!,105597161,Katelyn,eleventh ward,42.66034,-73.77163,Entire home/apt,105.0,2,185,2025-06-06,4.42,1,11,25,0.5645161290322581
50354540,Heart of Center Square: Designer 2-Bed Retreat,188679144,Elizabeth,sixth ward,42.65333,-73.76402,Entire home/apt,135.0,3,16,2025-06-05,0.33,8,365,6,7.9411764705882355
50639032,"Sunny Queen bed, Quiet w/Beautiful Garden",172539578,David Yisrael,fifteenth ward,42.67945,-73.81647,Private room,93.0,3,46,2025-05-17,1.02,4,30,9,1.9787234042553192
50890336,"★CHIC, Renovated Brownstone★ in PRIME DT Albany",47625981,Linda,fourth ward,42.65901,-73.74748,Entire home/apt,108.0,1,45,2024-07-25,0.96,18,200,5,2.347826086956522
